Description,Code,Selling,Buying_TT,Buting_Notes,Scrape_time,Buying_Notes
Euro,EUR,27.964628,27.350819,27.350819,2025-10-07,
Pound Sterling,GBP,32.193624,31.480307,31.480307,2025-10-07,
US Dollar,USD,23.94,23.5104,23.5104,2025-10-07,
Australian Dollar,AUD,15.96912,15.399644,15.305934,2025-10-07,
Botswana Pula,BWP,1.727243,1.6311,1.621175,2025-10-07,
Canadian Dollar,CAD,17.366836,16.748997,16.647076,2025-10-07,
Swiss Franc,CHF,30.357143,29.268788,29.090681,2025-10-07,
Danish Kroner,DKK,3.782024,3.648032,3.625833,2025-10-07,
Indian Rupee,INR,0.272989,0.263289,0.261687,2025-10-07,
Japanese Yen,JPY,0.15891,0.155384,0.155384,2025-10-07,
Namibia Dollar,NAD,1.408717,1.358664,1.350396,2025-10-07,
Norwegian Krone,NOK,2.433157,2.346535,2.332256,2025-10-07,
New Zealand Dollar,NZD,14.07957,13.494306,13.494306,2025-10-07,
Swedish Krona,SEK,2.578774,2.483865,2.46875,2025-10-07,
South African Rand,ZAR,1.395028,1.36393,1.36393,2025-10-07,
Euro,EUR,27.964628,27.350819,,2025-10-08,27.350819
Pound Sterling,GBP,32.193624,31.480307,,2025-10-08,31.480307
US Dollar,USD,23.94,23.5104,,2025-10-08,23.5104
Australian Dollar,AUD,15.96912,15.399644,,2025-10-08,15.305934
Botswana Pula,BWP,1.727243,1.6311,,2025-10-08,1.621175
Canadian Dollar,CAD,17.366836,16.748997,,2025-10-08,16.647076
Swiss Franc,CHF,30.357143,29.268788,,2025-10-08,29.090681
Danish Kroner,DKK,3.782024,3.648032,,2025-10-08,3.625833
Indian Rupee,INR,0.272989,0.263289,,2025-10-08,0.261687
Japanese Yen,JPY,0.15891,0.155384,,2025-10-08,0.155384
Namibia Dollar,NAD,1.408717,1.358664,,2025-10-08,1.350396
Norwegian Krone,NOK,2.433157,2.346535,,2025-10-08,2.332256
New Zealand Dollar,NZD,14.07957,13.494306,,2025-10-08,13.494306
Swedish Krona,SEK,2.578774,2.483865,,2025-10-08,2.46875
South African Rand,ZAR,1.395028,1.36393,,2025-10-08,1.36393
Euro,EUR,27.843518,27.229901,,2025-10-09,27.229901
Pound Sterling,GBP,32.137816,31.4256,,2025-10-09,31.4256
US Dollar,USD,23.8896,23.4608,,2025-10-09,23.4608
Australian Dollar,AUD,15.913744,15.343836,,2025-10-09,15.250466
Botswana Pula,BWP,1.965346,1.627659,,2025-10-09,1.617755
Canadian Dollar,CAD,17.331517,16.714859,,2025-10-09,16.613146
Swiss Franc,CHF,30.183544,29.101335,,2025-10-09,28.924248
Danish Kroner,DKK,3.765949,3.632114,,2025-10-09,3.610012
Indian Rupee,INR,0.272377,0.262698,,2025-10-09,0.261099
Japanese Yen,JPY,0.156861,0.153421,,2025-10-09,0.153421
Namibia Dollar,NAD,1.408938,1.358871,,2025-10-09,1.350602
Norwegian Krone,NOK,2.423289,2.337149,,2025-10-09,2.322927
New Zealand Dollar,NZD,13.967737,13.380082,,2025-10-09,13.380082
Swedish Krona,SEK,2.564228,2.473078,,2025-10-09,2.458029
South African Rand,ZAR,1.395337,1.364026,,2025-10-09,1.364026
Euro,EUR,26.527589,25.940416,,2025-10-10,25.940416
Pound Sterling,GBP,30.556141,29.87824,,2025-10-10,29.87824
US Dollar,USD,22.8312,22.4192,,2025-10-10,22.4192
Australian Dollar,AUD,15.197153,14.651467,,2025-10-10,14.56231
Botswana Pula,BWP,1.647244,1.555395,,2025-10-10,1.54593
Canadian Dollar,CAD,16.528116,15.938488,,2025-10-10,15.841499
Swiss Franc,CHF,28.749378,27.71592,,2025-10-10,27.547264
Danish Kroner,DKK,3.587311,3.459703,,2025-10-10,3.43865
Indian Rupee,INR,0.260081,0.250814,,2025-10-10,0.249288
Japanese Yen,JPY,0.149578,0.146283,,2025-10-10,0.146283
Namibia Dollar,NAD,1.347302,1.299297,,2025-10-10,1.291391
Norwegian Krone,NOK,2.304102,2.221872,,2025-10-10,2.208352
New Zealand Dollar,NZD,13.314259,12.757248,,2025-10-10,12.757248
Swedish Krona,SEK,2.433842,2.34705,,2025-10-10,2.332768
South African Rand,ZAR,1.334685,1.304036,,2025-10-10,1.304036
Euro,EUR,26.580372,25.992272,,2025-10-11,25.992272
Pound Sterling,GBP,30.504929,29.83066,,2025-10-11,29.83066
US Dollar,USD,22.932,22.5184,,2025-10-11,22.5184
Australian Dollar,AUD,15.194634,14.64915,,2025-10-11,14.560007
Botswana Pula,BWP,1.652196,1.560039,,2025-10-11,1.550546
Canadian Dollar,CAD,16.584477,15.995283,,2025-10-11,15.897949
Swiss Franc,CHF,28.818927,27.783267,,2025-10-11,27.614201
Danish Kroner,DKK,3.594554,3.466723,,2025-10-11,3.445627
Indian Rupee,INR,0.26176,0.252433,,2025-10-11,0.250897
Japanese Yen,JPY,0.150485,0.147152,,2025-10-11,0.147152
Namibia Dollar,NAD,1.346326,1.298369,,2025-10-11,1.290469
Norwegian Krone,NOK,2.295593,2.213364,,2025-10-11,2.199895
New Zealand Dollar,NZD,13.342875,12.782552,,2025-10-11,12.782552
Swedish Krona,SEK,2.436144,2.347742,,2025-10-11,2.333456
South African Rand,ZAR,1.333382,1.302216,,2025-10-11,1.302216
Euro,EUR,26.580372,25.992272,,2025-10-11,25.992272
Pound Sterling,GBP,30.504929,29.830660,,2025-10-11,29.830660
US Dollar,USD,22.932000,22.518400,,2025-10-11,22.518400
Australian Dollar,AUD,15.194634,14.649150,,2025-10-11,14.560007
Botswana Pula,BWP,1.652196,1.560039,,2025-10-11,1.550546
Canadian Dollar,CAD,16.584477,15.995283,,2025-10-11,15.897949
Swiss Franc,CHF,28.818927,27.783267,,2025-10-11,27.614201
Danish Kroner,DKK,3.594554,3.466723,,2025-10-11,3.445627
Indian Rupee,INR,0.261760,0.252433,,2025-10-11,0.250897
Japanese Yen,JPY,0.150485,0.147152,,2025-10-11,0.147152
Namibia Dollar,NAD,1.346326,1.298369,,2025-10-11,1.290469
